Rank,Population Density ▼,City / Population,,,,
180,881.0/sq mi,"Hartwell, GA / 4,499",,,,
181,878.7/sq mi,"Hazlehurst, GA / 4,225",,,,
182,876.1/sq mi,"Monroe, GA / 13,427",,,,
183,875.1/sq mi,"Moultrie, GA / 14,467",,,,
184,871.8/sq mi,"Watkinsville, GA / 2,881",,,,
185,870.0/sq mi,"Toccoa, GA / 8,327",,,,
186,869.6/sq mi,"Lafayette, GA / 7,105",,,,
187,862.2/sq mi,"Colbert, GA / 882",,,,
188,850.6/sq mi,"East Griffin, GA / 1,248",,,,
189,850.6/sq mi,"Covington, GA / 13,342",,,,
190,844.1/sq mi,"Millen, GA / 3,042",,,,
191,842.2/sq mi,"Gray, GA / 3,276",,,,
192,840.8/sq mi,"Douglas, GA / 11,738",,,,
193,832.1/sq mi,"Talahi Island, GA / 1,229",,,,
194,827.7/sq mi,"Mccaysville, GA / 1,327",,,,
195,823.9/sq mi,"Wrens, GA / 2,587",,,,
196,819.9/sq mi,"Ashburn, GA / 3,935",,,,
197,817.3/sq mi,"Demorest, GA / 1,857",,,,
198,816.5/sq mi,"Camilla, GA / 5,078",,,,
199,811.1/sq mi,"Fort Stewart, GA / 5,325",,,,
200,809.4/sq mi,"Oakwood, GA / 4,089",,,,
201,808.1/sq mi,"Monticello, GA / 2,619",,,,
202,804.7/sq mi,"Chatsworth, GA / 4,285",,,,
203,792.3/sq mi,"Fairburn, GA / 13,520",,,,
204,792.3/sq mi,"Jackson, GA / 4,959",,,,
205,784.9/sq mi,"Hardwick, GA / 3,828",,,,
206,784.4/sq mi,"Union Point, GA / 1,501",,,,
207,781.3/sq mi,"Tennille, GA / 1,395",,,,
208,780.1/sq mi,"Glennville, GA / 5,166",,,,
209,776.0/sq mi,"Blackshear, GA / 3,485",,,,
210,771.3/sq mi,"Lindale, GA / 4,266",,,,
211,770.0/sq mi,"Dexter, GA / 605",,,,
212,769.1/sq mi,"Sharpsburg, GA / 459",,,,
213,769.1/sq mi,"Euharlee, GA / 4,172",,,,
214,767.8/sq mi,"Clarkesville, GA / 1,911",,,,
215,767.2/sq mi,"Ringgold, GA / 3,647",,,,
216,767.2/sq mi,"White, GA / 740",,,,
217,764.4/sq mi,"Ochlocknee, GA / 730",,,,
218,763.9/sq mi,"Berlin, GA / 565",,,,
219,760.2/sq mi,"Lumpkin, GA / 1,216",,,,
220,757.9/sq mi,"Royston, GA / 2,578",,,,
221,755.1/sq mi,"Lincoln Park, GA / 653",,,,
222,754.2/sq mi,"Dooling, GA / 349",,,,
